0.0724,0.14	,0.01
0.3058,0.17	,0.02
0.5392,0.21	,0.03
0.7726,0.51	,0.03
1.006,1.01	,0.04
1.2394,1.13	,0.04
1.4728,1.00	,0.06
1.7062,0.93	,0.08
1.9396,1.16	,0.10
2.173,1.77	,0.13
2.4064,3.30	,0.17
2.6398,4.10	,0.21
2.8732,4.32	,0.26
3.1066,5.39	,0.42
3.34,6.73	,0.51
3.5734,8.43	,0.72
3.8068,12.01,0.91
4.0402,15.94,1.22
4.2736,15.76,1.51
4.507,10.82,1.75
4.7404,11.93,1.93
4.9738,7.35,2.97
5.2072,14.81,3.55
5.4406,16.15,3.09
5.674,11.14,3.24
5.9074,20.12,5.30
6.1408,28.54,6.99
6.3742,37.39,11.56
6.6076,57.93,16.80
6.841,101.50,24.03
7.0744,288.13,41.58
7.3078,395.61,81.46
7.5412,265.69,134.35
7.7746,514.37,330.52
