0.0724,0.09,0.01
0.3058,0.12,0.01
0.5392,0.16,0.02
0.7726,0.41,0.03
1.006,0.85,0.03
1.2394,1.00,0.04
1.4728,0.94,0.06
1.7062,0.93,0.08
1.9396,1.22,0.10
2.173,1.96,0.15
2.4064,3.85,0.20
2.6398,5.05,0.25
2.8732,5.62,0.34
3.1066,7.41,0.58
3.34,9.75,0.73
3.5734,12.91,1.11
3.8068,19.41,1.47
4.0402,27.20,2.09
4.2736,28.38,2.72
4.507,20.58,3.33
4.7404,23.94,3.88
4.9738,15.59,6.29
5.2072,33.14,7.95
5.4406,38.16,7.30
5.674,27.79,8.07
5.9074,52.97,13.97
6.1408,79.35,19.43
6.3742,109.75,33.94
6.6076,179.50,52.07
6.841,332.07,78.61
7.0744,995.17,143.62
7.3078,1442.58,297.05
7.5412,1022.88,517.21
7.7746,2090.67,1343.41
