0.146,4.71,1.506002075
0.352,3.8,2.012411489
0.557,2.31,1.676204716
0.762,0.75,1.643854084
0.967,9.34,2.608217974
1.173,20.58,4.174406425
1.378,6.79,2.05079064
1.584,3.36,1.830741926
1.789,5.77,2.216007728
1.994,7.51,2.383065725
2.2,9.21,2.19055752
2.405,14.03,2.980104067
2.611,12.65,2.735215942
2.816,22.84,4.276806753
3.022,57.22,9.516301225
3.228,63.34,10.21795483
3.433,73.3,11.82791719
3.639,59.03,9.635464195
3.845,51.06,8.367626963
4.05,70.7,11.3167365
4.256,78.39,12.52695982
4.462,79.6,12.68055598
4.668,109.4,17.22935286
4.874,128.96,20.18621401
5.08,135.37,21.08496455
5.286,200.38,30.84555315
5.492,275.36,42.23729769
5.698,311.11,47.53783569
5.904,332.55,50.76601921
6.11,416.53,63.31307543
6.316,497.56,75.52089483
6.523,670.29,101.4943101
6.729,804.8,121.7612849
6.936,861.86,130.2937939
7.142,1054.2,159.2061786
7.349,1556.53,234.617483
7.556,1730.56,260.7142412
7.763,2152.9,324.1336711
7.97,2410.99,363.0334144
8.177,3134.54,471.5594699
8.384,3596.39,541.0455261
8.591,4346.58,653.5936721
8.799,5169.57,777.2885335
9.007,5875.43,883.3355683
9.215,6740.07,1013.60667
9.423,9570.77,1438.679189
